# Position [m],Scalar_Field [GeV],Effective_Mass [GeV],Metric_Factor,Gamma_Mu [GeV]
2.459459e-15,5.806487e+08,8.157673e+03,1.000000e+00,-1.658428e+08
2.465465e-15,5.637252e+08,7.726676e+03,1.000000e+00,-1.566981e+08
2.471471e-15,5.472554e+08,7.317307e+03,1.000000e+00,-1.480354e+08
2.477477e-15,5.312285e+08,6.928546e+03,1.000000e+00,-1.398306e+08
2.483483e-15,5.156337e+08,6.559415e+03,1.000000e+00,-1.320608e+08
2.489489e-15,5.004606e+08,6.208982e+03,1.000000e+00,-1.247039e+08
2.495495e-15,4.856990e+08,5.876354e+03,1.000000e+00,-1.177392e+08
2.501502e-15,4.713388e+08,5.560679e+03,1.000000e+00,-1.111468e+08
2.507508e-15,4.573701e+08,5.261142e+03,1.000000e+00,-1.049078e+08
2.513514e-15,4.437834e+08,4.976965e+03,1.000000e+00,-9.900414e+07
2.519520e-15,4.305693e+08,4.707404e+03,1.000000e+00,-9.341869e+07
2.525526e-15,4.177184e+08,4.451751e+03,1.000000e+00,-8.813513e+07
2.531532e-15,4.052219e+08,4.209326e+03,1.000000e+00,-8.313794e+07
2.537538e-15,3.930709e+08,3.979484e+03,1.000000e+00,-7.841232e+07
2.543544e-15,3.812568e+08,3.761607e+03,1.000000e+00,-7.394423e+07
2.549550e-15,3.697710e+08,3.555106e+03,1.000000e+00,-6.972029e+07
2.555556e-15,3.586054e+08,3.359420e+03,1.000000e+00,-6.572778e+07
2.561562e-15,3.477519e+08,3.174012e+03,1.000000e+00,-6.195462e+07
2.567568e-15,3.372025e+08,2.998370e+03,1.000000e+00,-5.838932e+07
2.573574e-15,3.269495e+08,2.832009e+03,1.000000e+00,-5.502095e+07
2.579580e-15,3.169855e+08,2.674463e+03,1.000000e+00,-5.183913e+07
2.585586e-15,3.073029e+08,2.525290e+03,1.000000e+00,-4.883400e+07
2.591592e-15,2.978946e+08,2.384067e+03,1.000000e+00,-4.599619e+07
2.597598e-15,2.887535e+08,2.250393e+03,1.000000e+00,-4.331681e+07
2.603604e-15,2.798728e+08,2.123885e+03,1.000000e+00,-4.078741e+07
2.609610e-15,2.712456e+08,2.004178e+03,1.000000e+00,-3.839996e+07
2.615616e-15,2.628653e+08,1.890925e+03,1.000000e+00,-3.614685e+07
2.621622e-15,2.547256e+08,1.783796e+03,1.000000e+00,-3.402085e+07
2.627628e-15,2.468201e+08,1.682476e+03,1.000000e+00,-3.201511e+07
2.633634e-15,2.391428e+08,1.586665e+03,1.000000e+00,-3.012311e+07
2.639640e-15,2.316875e+08,1.496079e+03,1.000000e+00,-2.833869e+07
2.645646e-15,2.244484e+08,1.410446e+03,1.000000e+00,-2.665599e+07
2.651652e-15,2.174199e+08,1.329509e+03,1.000000e+00,-2.506946e+07
2.657658e-15,2.105962e+08,1.253023e+03,1.000000e+00,-2.357383e+07
2.663664e-15,2.039720e+08,1.180755e+03,1.000000e+00,-2.216412e+07
2.669670e-15,1.975419e+08,1.112483e+03,1.000000e+00,-2.083560e+07
2.675676e-15,1.913007e+08,1.047997e+03,1.000000e+00,-1.958378e+07
2.681682e-15,1.852433e+08,9.870963e+02,1.000000e+00,-1.840443e+07
2.687688e-15,1.793648e+08,9.295912e+02,1.000000e+00,-1.729351e+07
2.693694e-15,1.736603e+08,8.753012e+02,1.000000e+00,-1.624723e+07
2.699700e-15,1.681251e+08,8.240547e+02,1.000000e+00,-1.526197e+07
2.705706e-15,1.627546e+08,7.756889e+02,1.000000e+00,-1.433432e+07
2.711712e-15,1.575443e+08,7.300493e+02,1.000000e+00,-1.346104e+07
2.717718e-15,1.524897e+08,6.869891e+02,1.000000e+00,-1.263908e+07
2.723724e-15,1.475867e+08,6.463692e+02,1.000000e+00,-1.186554e+07
2.729730e-15,1.428310e+08,6.080573e+02,1.000000e+00,-1.113768e+07
2.735736e-15,1.382186e+08,5.719282e+02,1.000000e+00,-1.045291e+07
2.741742e-15,1.337455e+08,5.378630e+02,1.000000e+00,-9.808784e+06
2.747748e-15,1.294079e+08,5.057490e+02,1.000000e+00,-9.202974e+06
2.753754e-15,1.252018e+08,4.754792e+02,1.000000e+00,-8.633292e+06
2.759760e-15,1.211238e+08,4.469524e+02,1.000000e+00,-8.097669e+06
2.765766e-15,1.171701e+08,4.200725e+02,1.000000e+00,-7.594144e+06
2.771772e-15,1.133373e+08,3.947484e+02,1.000000e+00,-7.120868e+06
2.777778e-15,1.096219e+08,3.708940e+02,1.000000e+00,-6.676093e+06
2.783784e-15,1.060207e+08,3.484276e+02,1.000000e+00,-6.258166e+06
2.789790e-15,1.025304e+08,3.272718e+02,1.000000e+00,-5.865528e+06
2.795796e-15,9.914790e+07,3.073533e+02,1.000000e+00,-5.496706e+06
2.801802e-15,9.587004e+07,2.886028e+02,1.000000e+00,-5.150308e+06
2.807808e-15,9.269385e+07,2.709546e+02,1.000000e+00,-4.825021e+06
2.813814e-15,8.961643e+07,2.543466e+02,1.000000e+00,-4.519606e+06
2.819820e-15,8.663492e+07,2.387199e+02,1.000000e+00,-4.232893e+06
2.825826e-15,8.374657e+07,2.240190e+02,1.000000e+00,-3.963779e+06
2.831832e-15,8.094867e+07,2.101911e+02,1.000000e+00,-3.711222e+06
2.837838e-15,7.823861e+07,1.971866e+02,1.000000e+00,-3.474240e+06
2.843844e-15,7.561382e+07,1.849583e+02,1.000000e+00,-3.251906e+06
